Year,Set Number,Main Category,Specific Topic,Core Discussion Question,Other Questions,Suggested Vocabulary or Key Points,Source
2018,3.2,School Life / Technology,E-sports Festival,Discuss holding an inter-school e-sports festival at your school.,Advantages of holding the festival; possible problems that may occur; how to promote the festival.,Professional gaming career; addiction vs. success; government grants; promote festival; PE lessons.,5
2018,3.3,School Life / Careers,Being a Firefighter,Discuss giving a presentation on being a firefighter as a career.,Skills and qualities needed; advantages and disadvantages of the job; activities to help students learn about the job.,Protecting community; trustworthy; salary/rewards; training; male vs. female roles; dangerous scenarios.,5
2018,4.1,Social Issues / Youth,Criticism of Young People,Discuss famous people's criticism of the younger generation.,Why older people criticise the younger generation; whether the criticism is fair; the biggest challenge for young people today.,Lack of hunger/drive; easy life; importance of hard work; talent development; understanding different generations.,5
2018,4.2,Social Issues / Hong Kong Culture,Moving to Taiwan,Discuss the trend of Hongkongers moving to Taiwan.,Differences between Hong Kong and Taiwan; advantages and disadvantages of living in Taiwan; the most important factor in the decision.,High rent/hectic life (HK) vs. slow pace (Taiwan); cost of living; quality of life; emigrating; staying in touch.,5
2018,4.3,Education,Attendance Policy,Discuss attendance policies in education (HKBU example).,Advantages and disadvantages of the policy; whether it will be successful; whether it could be applied to secondary schools.,Responsible decisions; quality of teaching; video lectures; maturity; face-to-face vs. online learning.,5
2018,5.1,School Life / Sports,Boxing in Schools,Discuss whether boxing should be promoted in HK secondary schools.,Why Rex Tso is a suitable speaker; how to persuade him to visit; whether boxing should be promoted in schools.,Reaching dreams; lack of childhood; fame; stress; mature age for competition; school organization.,5
2018,5.2,Social Issues / Family,Talent Shows,Discuss opinions on talent shows and children taking part.,Why talent shows are popular; advantages and disadvantages of taking part; whether parents should let children participate.,Life goals; working hard; self-control/discipline; danger vs. reward; gender equality in sport; taking risks.,5
2018,5.3,Hong Kong Culture / Environment,Victoria Harbour Improvement,Propose facilities that could improve the Victoria Harbour front.,What people might enjoy doing at the waterfront; suitable facilities; how to promote the new facilities.,Floating walkways; leisure travel (ferry); recreation; dull vs. flourishing; accessible to public; symbol of HK.,5
2018,6.1,Technology / Social Issues,Drones in HK,Discuss a project on drones (usage and regulations).,Why drones are popular and useful; what problems they might cause; rules for flying drones in Hong Kong.,Flight safety; photography; restricted areas; popular locations; misuse potential; police use for crime reduction.,5
2018,6.2,Social Issues / Social Media,OCamp Culture,Discuss an OCamp for new S1 students at your school.,Advantages and disadvantages of an OCamp; activities to help students get to know each other; how to organise activities.,Misinformation; journalism; asking questions; awareness; government control; TV vs. internet news.,5
2018,6.3,Social Issues / Education,Teenage Dating Rules,Discuss whether there should be guidelines about secondary school students dating.,Whether you agree with no-dating rules; advantages and disadvantages of dating; guidelines or advice schools should give.,Immature love; academic performance; social skills; parental feelings; China's distance rule; communication.,5
2018,7.1,Mental Health / Well-being,Music Therapy,Suggest a suitable music therapy activity (Gong Baths) for a school room.,Suitability of a gong bath; other suitable music therapy activities; how to promote music therapy at school.,Reducing stress; harmonious sound; instant emotional effect; sleep improvement; traditional vs. modern relaxation.,5
2018,7.2,Environment / Education,Paperless Classrooms,Discuss introducing 'paperless classrooms' at school.,How schools can become paperless; what challenges there will be; whether it will be successful.,Green initiatives; banning bottled water; digital handouts; laptop use; sustainability; IT improving education.,5
2018,7.3,Social Issues / Careers,Summer Job Traps,Organise an activity to raise awareness of employment traps for summer jobs.,Advantages and disadvantages of summer work; how to raise awareness of traps; suitable summer jobs for students.,Scams/pocket money; personal data; high salary traps; safety regulations; parental encouragement; school arrangement.,5
2018,8.1,Mental Health / Well-being,Animal Therapy,Discuss keeping pets at school for animal therapy.,Advantages and disadvantages of animal therapy; suitable animal types; how animals would be looked after and help students.,Relaxing/comfort; lowering blood pressure; looking after pets; emotional support; animals in hospitals.,5
2018,8.2,Social Issues / Hong Kong Culture,Bike-sharing,Discuss businesses which offer sharing services in HK.,Advantages of bike-sharing; problems and solutions; other sharing services that could be introduced.,QR codes; convenience; digital transition; Octopus vs. cash; security; impact on elderly; developed country sign.,5
2018,8.3,Hong Kong Culture / Media,Decline of TVB,Discuss the fall in the number of viewers for TVB.,Why TVB was successful in the past; why viewers are declining; whether it can be successful again.,Lack of investment/creativity; same props; Korean drama trend; internet craving; free TV support.,5
2017,1.1,Social Issues,Working in Shenzhen,Discuss whether Hongkongers could benefit from working in Shenzhen.,Advantages and disadvantages; popularity trends; advice for those interested.,Economic growth; cultural differences; cost of living; social media bans (Facebook/Twitter); traffic; dream jobs.,6
2017,1.2,Hong Kong Culture,Filial Piety (Money),Write a reply about the tradition of giving money to parents.,Reasons people give money; whether the tradition should continue; other ways to show respect.,Showing respect/honor; love expression; tradition vs. financial pressure; ancestor worship; parental expectations.,6
2017,1.3,Hong Kong Culture,Book Fair Themes,Discuss the idea of a theme for a future Hong Kong Book Fair.,Why the fair is popular; suitability of past themes; possible future themes.,Kung Fu literature; promoting Chinese culture; novelty/freshness; encouraging reading; local culture representation.,6
2017,2.1,Hong Kong Culture,Cantonese Importance,Discuss the importance of Cantonese in everyday Hong Kong life.,Problems for non-speakers; advantages of learning; ways to help people feel connected.,Day-to-day living; isolation; understanding culture; social circle limits; job requirements; language proficiency.,6
2017,2.2,Technology / Social Media,Online Charity (Ice Bucket),Consider if online fundraising activities are suitable for schools.,Reasons for success; other online activities to raise money; popularity of suggestions.,Viral marketing; raising awareness vs. funds; easy contribution; social media power; student involvement in charity.,6
2017,2.3,Social Issues,Weather Warning Signals,Discuss how suitable current weather signals (HKO) are in Hong Kong.,Advantages; problems for families/schools/businesses; possible improvements.,Typhoon warnings; economic impact; scientific data vs. business needs; school closures; signal confusion.,6
2017,3.1,Mental Health / Well-being,Developing EQ,Discuss developing younger students' EQ for a study support scheme.,Problems affecting emotions; importance of EQ; how schools can help development.,Emotional intelligence; financial success; depression/anxiety; family/community links; social skills; unprepared for work.,6
2017,3.2,School Life,Modern Libraries,Provide suggestions on how modern libraries could attract more teenagers.,What youth like about libraries; reasons they don't use them; new activities to attract people.,Smartphone impact; reading culture decline; e-book statistics; killing time/air-con; exam papers as most borrowed; future change.,6
2017,3.3,Social Issues,Road Safety,Discuss road safety in Hong Kong for a visit by Transport Police.,Falling accident rates; common causes; safety measures for road users.,Technology advances (air-bags); human factors (texting/drink-driving); pedestrian rules; lower accident rates; cycle paths.,6
2017,4.1,Mental Health / Well-being,Singing in Parks,Discuss outdoor music performances for the elderly in parks.,Why elderly enjoy singing in parks; problems with performances; ways to overcome problems.,Noise complaints; social connection; venues for elderly; electronic music ban; free activities; retirement quality.,6
2017,4.2,Social Issues,Legal Ages,"Discuss whether various legal ages (tattoos, driving, marriage) are suitable.",Reasons for age limits; why limits differ across activities; whether limits should change.,Tattoos; working age; marriage; driving/smoking; maturity; internet fads; government responsibility.,6
2017,4.3,Mental Health / Well-being,Hikikomori,Discuss young people withdrawing from society and social contact.,Reasons for avoiding contact; problems for families; how to overcome these issues.,Bedroom isolation; technology dependency; social pressure; embarrassment; family communication; spending time alone.,6
2017,5.1,Education,Boot Camps,"Discuss whether boot camps for ""spoiled children"" are suitable for Hong Kong.",What children learn; popularity with HK parents; other methods to encourage independence.,Over-protection; building independence; basic conditions; spoiled kids; managing disappointment; army-style training.,6
2017,5.2,Mental Health / Well-being,Mood-enhancing Foods,Discuss whether mood-enhancing foods are suitable for schools.,School foods and their impact on mood; school menu offerings; benefits of mood-enhancing foods.,Dark chocolate/protein; avoiding sugar/processed food; healthy eating; brain health; junk food effects; awareness.,6
2017,5.3,Education,Teacher's Role in Success,Debate whether good teachers are the most important factor in educational success.,Arguments for and against the motion; ease of argument.,Great teacher myth; hard work by students; inspiration; educational factors; repetition/practice; teacher respect.,6
2017,6.1,Technology / Social Media,Smartphones in China,Discuss the sales and influence of iPhones and smartphones in China.,Benefits to people; reasons for stalled growth; future success of iPhones.,Market demand; price/inexpensive devices; innovation; status symbols; local rivals; technology changing future.,6
2017,6.2,Technology / Social Media,Online Games Day,Discuss introducing an 'Online Games Day' at school based on studies.,Benefits of playing online games; possible activities; potential problems setting it up.,Solving puzzles; maths/reading skills; educational games; parental worry; technology in school; test score improvement.,6
2017,6.3,Education,Working Holidays,Discuss the advantages and suitability of working holiday jobs for students.,Advantages; suitability of advertised jobs; other types of suitable jobs.,Learning skills; fruit picking/farm hand; sailing boats; international qualifications; funding travels; remote location problems.,6
2017,7.1,Social Issues,Blood Donation,Organize a Red Cross blood donation event for students and staff.,Importance of giving blood; encouragement strategies; suitable times and locations.,Red Cross; hospital supplies; new donors; health benefits; parent permission; long-term supply; fear of needles.,6
2017,7.2,Hong Kong Culture,Travel Book Cover,Select one photograph to represent Hong Kong on a travel book cover.,Tourist attractions; representation of HK; final photograph choice.,Victoria Harbour; Big Buddha; Geopark; densely populated flats; heritage (nunnery); international city image.,6
2017,7.3,Social Issues,Bus Lanes and Traffic,Debate whether more bus lanes are needed in Hong Kong.,Convenience of buses; suitability of bus lanes for congestion; other solutions to traffic.,Traffic jams; pollution; fairness to car owners; priority lanes; public transport usage; journey times.,6
2017,8.1,Social Issues,Age Discrimination,Discuss discrimination against older people regarding work and social equality.,Advantages of elderly working vs not working; reducing discrimination.,Equal Opportunities Commission; seniors' expertise; forced retirement; work opportunities; unfair treatment.,6
2017,8.2,Environment,Littering Fines,Discuss whether fines and penalties effectively keep Hong Kong streets clean.,Elderly cleaner case study; effectiveness of fines; problems caused by penalties.,Underprivileged cleaners; individual responsibility; pollution crackdown; government advertising; anti-social behavior.,6
2017,8.3,School Life,Graduation Night Hike,Discuss preparation for a graduation night hike and camping trip.,Popularity of night hiking; packing list; problems that might be faced.,Celebration of graduation; items to take; safety/navigation; environment protection; mountain bikes on paths.,6
2016,1.1,School Life / Social Issues,Overseas Charity Work,Discuss the kinds of charity work your school could be involved in.,Benefits of overseas work; concerns; whether it should be a school requirement.,Poverty awareness; privileged lives; long-term difference; school requirements; cost; giving time vs. money.,7
2016,1.2,Social Issues / Lifestyle,Spacebox (Storage),Decide whether starting an on-demand storage business is worthwhile.,Business viability; improvement ideas; advertising strategies.,Tiny apartments; decluttering stress; on-demand service; advertising methods; lack of space; possessions vs. happiness.,7
2016,1.3,Education,Forest Kindergarten,Discuss whether learning through play should be a regular part of education.,Childhood games; pros and cons of play at school; regular education suitability.,Outdoor exploration; creativity; unstructured play; dirty clothes/running around; sitting still vs. natural energy.,7
2016,2.1,Social Issues / Technology,Phone Scams,Discuss a presentation on how to avoid different kinds of scams.,Types of scams; possible victims; avoidance strategies.,Phone fraud; personal data; crime-prevention; psychological weaknesses; clicking links; educating the public.,7
2016,2.2,School Life / Hong Kong Culture,Street Artist Mural,Discuss plans for an Open Day mural painting by artist Bao Ho.,Imagery to include; appropriate location; how the artist helps celebrate Open Day.,Bao characters; mural art; freestyle; 50th anniversary; art vs. academic skills; street art popularity.,7
2016,2.3,Social Issues / Lifestyle,Adults Living at Home,Discuss the idea of living with parents when you are in your 20s.,Benefits and disadvantages; ways to maintain independence.,Expensive property; independence; respect for elders; privacy sanctuary; tradition in HK; moving out costs.,7
2016,3.1,Technology / Education,Educational Apps,Discuss apps to buy for school computer tablets.,Utility of specific apps; other types needed by HK students; disadvantages of apps.,Maths formulae; language study; organization (Studious); biology (Mice Dissection); logical thinking; unfair advantage.,7
2016,3.2,Hong Kong Culture / Tourism,Taxi Driver Image,Discuss the image of Hong Kong taxi drivers and suggest improvements.,Reasons for rising complaints; improvement steps; promotion to tourists.,Overcharging; refusing hire; Uber competition; reputation; promoting taxis to tourists; penalties for misconduct.,7
2016,3.3,Environment / Social Issues,Wild Boars,Prepare a debate on protecting versus shooting wild animals.,Arguments for and against; ease of argument.,Densely populated areas; safety vs. cuteness; hunting clubs; wild animals as pets; urban-wildlife encounters.,7
2016,4.1,Education / Technology,Programming vs History,Discuss replacing history/geography with computer programming in the curriculum.,Importance of history/geography; primary school programming; alternative subjects.,Advanced computer skills; logical thinking vs. learning from the past (history); global citizenship (geography); future job security.,7
2016,4.2,Social Issues / Youth,After-School Hangouts,Discuss places where students can socialise after school.,Importance of socialising; popularity of specific places; alternative hangouts.,Space Museum; HK Park; baking classes; study vs. fun; parental concerns; negative teen stereotypes.,7
2016,4.3,Hong Kong Culture / Food,Private Kitchens,Discuss a project on dining experiences in Hong Kong private kitchens.,Advantages and disadvantages; impact on the restaurant industry.,Unique dining experience; unlicensed/private clubs; safety requirements; impact on restaurant industry; food quality vs. cost.,7
2016,5.1,Hong Kong Culture / Media,Busking in HK,Discuss a reply to a letter to the editor about busking in HK.,Agreement with viewpoints; improving busking quality; government encouragement.,Quality of performance; street begging vs. art; government permits; musical talent; public amusement/nuisance.,7
2016,5.2,School Life / Culture,History Events Day,Discuss organizing a history week focusing on a specific period.,Period choice; important features; school events to organize.,Living in the past (1940s); spirit of era; hardship vs. escapism; historical figures; learning from history repeats.,7
2016,5.3,Mental Health / Technology,Empathy vs Digital Media,Discuss students' use of electronic devices and impact on empathy.,Negative effects on youth; importance of social skills; face-to-face interaction.,Face-to-face interaction; empathy; nonverbal cues; digital addiction; social skill decline; parental control.,7
2016,6.1,Hong Kong Culture / Social Issues,Walkable HK,Discuss a campaign leaflet to make Hong Kong a more walkable city.,Challenges for pedestrians; improvement suggestions; leaflet organisation.,Car-oriented vs. pedestrian-friendly; footbridges; carbon-neutral; street crossings; sense of community; fitness.,7
2016,6.2,Social Issues / Law,Singapore Laws for HK,Discuss a proposal to introduce strict laws similar to Singapore in HK.,Reasons for implementation; possible consequences; fairness of punishments.,Cultural appreciation; decoration; promoting HK; atmosphere; items to sell; western vs. local style.,7
2016,6.3,Social Issues / Hong Kong Culture,HK-themed Coffee Shop,Discuss ideas for a Hong Kong-themed coffee shop in Shanghai.,Items to sell; promotional themes; decoration ideas.,Chewing gum ban; photography on trains; littering fines; public flushing; fairness of punishments; crime reduction.,7
2016,7.1,Education / Social Issues,Competitive Games,Discuss whether Hong Kong schools should treat all children as winners.,Pros and cons of participation trophies; importance of learning to lose; discouraged games.,Participation prizes; learning how to lose; building character; pressure to win; competitive games; cheating.,7
2016,7.2,Technology / Language,Emoji Culture,Discuss ways people communicate in the 21st century (Word of the Year).,Advantages of emoticons; emoticon as Word of the Year; popularity of visual language.,Visual communication; digital era evolution; pictographic script; interpretation; forget how to write properly.,7
2016,7.3,Mental Health / Education,Meditation in Schools,Discuss whether meditation training should be introduced in secondary schools.,Reasons for teaching meditation; introduction methods; problems faced by schools.,Reducing anxiety; improved focus; overscheduled teens; self-soothing; mental health; realistic implementation.,7
2016,8.1,School Life / Family,Twins Project,Discuss a school project on the subject of twins.,Possible content; data collection methods; presentation style.,Identical twins; treatment as individuals; twin magic; difficulties for parents; separate classes; genetic interest.,7
2016,8.2,Social Issues / Social Media,Online Shaming,Discuss students' behaviour and image on social media (drinking/shaming).,Importance of social media image; acceptable behaviour; problems youth face online.,Drinking less/avoiding shaming; tagging dangers; permanent footprint; privacy; shaming; monitoring usage.,7
2016,8.3,Social Issues / Technology,Bicycle Safety,Discuss bicycle safety in HK and recommend safety gadgets.,How to be safe cycling; pros and cons of specific gadgets; final recommendations.,LED lights (Revolights); signal units; inflatable helmets (Hovding); cycle paths; government encouragement; MTR rules.,7
2016,9.1,Education / Culture,Story Vending Machines,Discuss ways to encourage the reading of literature.,Interest levels in literature; effectiveness of vending machines; other promotion ways.,Free literature; killing time; technological world; reading culture; promote reading; electronic devices vs. paper.,7
2016,9.2,Social Issues / Education,Left-handed Children,Discuss activities for International Left-Handers Day at school.,Frustrations for left-handed people; overcoming difficulties; event activities.,Right-handed implements; handwriting; higher IQ potential; sports advantage; International Left-Handers Day.,7
2016,9.3,Technology / Social Issues,Texting While Walking,Discuss ways to raise awareness about texting while walking.,Problems caused by smartphone use; effectiveness of texting lanes; awareness methods.,Smartphone addiction; distracted walking; preventing accidents; design projects; societal problems; punishment.,7
2015,1.1,Technology / Social Media,Selfie gadgets,Recommend two gadgets for taking better 'selfies'.,Popularity of selfies; advantages and disadvantages of gadgets; final selection.,"Selfie shutter, stick, apps, and specialized phones; creative expression vs. self-love; pros/cons of equipment.",8
2015,1.2,Global Issues / School Life,Memory Box for Moon,Discuss what to put inside a school digital memory box sent to the moon.,Purpose/theme; suggested items; student and teacher involvement.,"Personal messages, photos, songs; theme of the box; involving the school community in space exploration.",8
2015,1.3,Sports / Global Issues,Youth Olympic Games,Organize activities for the Sports Society based on Olympic values.,Suitable activities for students; activities based on values; community involvement.,"Chat with champions; career planning for athletes; global topics (fair play, health); community involvement.",8
2015,2.1,Education / Work,Doll hospital,Discuss whether a doll hospital would be a good business idea in HK.,Reasons for repairing toys; business success in HK; marketing strategies.,Restoring childhood memories; passing toys to generations; marketing strategies for niche services.,8
2015,2.2,Education / Work,Elective courses,"Discuss new senior courses (Firefighting, Media, Fisheries, or Business Law).",Benefits for students; difficulties in introduction; popularity among students.,Practical benefits vs. academic challenge; difficulty of implementation; popularity among students.,8
2015,2.3,Global Issues / Education,Mission to Mars,Invite Alyssa Carson to give a talk to the school's Astronomy Club.,Reasons for invitation; talk topics; other visit activities.,Determined goal-setting; training steps; inspiring others; risks of space travel.,8
2015,3.1,Education / Technology,Bring Your Own Device,Discuss introducing a 'BYOD' policy in school.,Benefits and problems; prevention strategies; useful subjects for mobile devices.,Accelerated learning vs. distractions; filtering online material; specific subjects where tech is useful.,8
2015,3.2,Education / Work,Top Jobs,"Organize a career planning workshop about top jobs (Developer, Nurse, Vet, Nutritionist).",Required skills; popularity among students; making the workshop interesting.,"Required skills for developers, nurses, vets; popularity of sectors; making workshops interesting.",8
2015,3.3,Society / Global Issues,Endless City project,Discuss the proposal for vertical city skyscraper designs.,Included facilities; pros and cons of living there; popularity in HK.,"Space-saving in dense cities; internal ecosystems (parks, shops); communication/interaction in vertical designs.",8
2015,4.1,Technology / Society,Online writing (Mr. Pizza),Prepare an article for the school magazine on how to be an online writer.,Advantages of writing online; problems faced; censorship issues.,Direct feedback and fame; adult themes/censorship; dealing with 'nasty' comments or hate; use of local slang.,8
2015,4.2,Education / Work,Generation Y,Design a workshop for Gen Y school leavers regarding the workplace.,Agreement with Gen Y description; popular employer measures; workshop interest.,Perceived lack of loyalty/patience vs. tech-savviness; flexible working hours; casual environments; mentorship.,8
2015,4.3,Education / Environment,Antarctica Study Tour,Discuss the possibility of going to Antarctica for a study tour.,Location suitability; difficulties for students; student selection process.,Environmental/ecological data collection; physical preparation/first aid; high cost and funding challenges.,8
2015,5.1,Global Issues / Society,Military service,Prepare for a debate on whether compulsory military service is a good idea.,Arguments for and against; service for women.,National defense vs. 'waste of time'; alternative non-military duties; celebrity cases of avoidance; inclusion of women.,8
2015,5.2,Technology / Society,Robots in Service,Write an article about benefits and problems of robots in restaurants/hotels.,Advantages; reasons for opposition; other industries that could benefit.,Reliability and cost-efficiency (no salary); impersonal nature vs. polite conversation; automation of cooking/serving.,8
2015,5.3,Technology / Global Issues,Essential items,Discuss the most essential items for day-to-day living in Hong Kong.,Differences from British survey; order of importance; generational differences.,Reliance on the internet; technology dominating routines; differences between generations; luxury of being connected.,8
2015,6.1,Education / Work,Leadership training,Discuss which camp (Youth Adventure or Public Speaking) is best for students.,Suitability; selection criteria; addressing concerns about the camp.,Team building and raft building vs. public speaking skills; identifying student leaders; addressing safety/cost concerns.,8
2015,6.2,Environment / School Life,Upcycling waste,"Upcycle an item (tyre, t-shirt, or book) for a school campaign.",Choice of item; difficulties; selling the upcycled product.,Environmental impact (reducing garbage stream); creativity vs. high-end quality; difficulties in repurposing materials.,8
2015,6.3,Education / Global Issues,STEM Gender gap,Discuss the number of girls and boys taking STEM subjects.,Reasons for fewer girls in STEM; school/university encouragement; persuading parents.,Male-dominated environments; parental discouragement; single-sex vs. mixed school benefits; global competitiveness.,8
2015,7.1,Mental Health / Society,Dialogue Experience,Discuss which 'in the dark' event is most suitable for a class OLE.,"Benefits of events (Dinner, Simulation, Concert); final choice.","Sharpening other senses (hearing, touch, smell); empathy for blind people; role reversal; sensory journey.",8
2015,7.2,Hong Kong Culture / Environment,HK Photo Contest,"Discuss entering a contest with themes like Poverty, Ugliness, or Wildlife.",Benefits of participation; theme recommendation; photo subjects.,Visual expression as communication; social responsibility; creating a photographic history; creativity and technique.,8
2015,7.3,Education / School Life,Student of the Year,Interview Tam Pok-man for an article on making the most of school life.,Lessons from Pok-man; biographical details; making the article interesting.,Balancing academics and extra-curriculars; passion for subjects; community service; humble attitude and enthusiasm.,8
2015,8.1,Society / Global Issues,Celebrity Justice,Discuss celebrity and crime as members of the Liberal Studies Society.,Punishment fairness; reasons for different treatment; supporting celebrities after crimes.,Community service vs. fines; public goodwill towards idols;Role models; whether punishments fit the crime.,8
2015,8.2,Education / Health,School starting age,Debate whether starting school before six does more harm than good.,Arguments for and against; personal stance.,Need for play and social skills; health effects of being pushed too fast; natural development vs. formal instruction.,8
2015,8.3,Environment / School Life,Snakes in HK,Decide between a photography field trip or a snake expert talk.,Preference and reasons; promotion; questions for the expert.,Overcoming fear through education; snakes as part of the ecosystem; remaining calm and respecting nature.,8
2015,9.1,Technology / Social Media,YouTube stars,Decide which YouTube star to invite to give a talk at school.,Pros and cons of choices; talk topics; other visit activities.,Educational value of YouTube; influence of brands; relatable content; why teens prefer YouTubers to movie stars.,8
2015,9.2,Health / Technology,Standing desks,Prepare a presentation to introduce standing desks to classmates.,Advantages and disadvantages; making the presentation interesting.,Risk of early death from sitting; alternating positions for blood flow/calories; impact on concentration and task performance.,8
2015,9.3,Society / Education,Adopt-A-Grandparent,Discuss starting an Adopt-A-Grandparent programme at school.,Activities for grandparents; programme benefits; organization details.,Bridging the generation gap; role models for children; sharing skills and stories; benefits for both seniors and students.,8
2014,1.1,Technology,Abandoning Email,Discuss writing emails in lives after leaving school.,Usage among youth; formal email challenges; advantages over other communication.,Email is seen as old/formal; slow process of signing in; advantages over other communication; informal vs. formal correspondence.,9
2014,1.2,Social Issues / Youth,Airport Ambassador,Discuss the Airport Ambassador Programme for youth.,Need for ambassadors; difficulty for youth; necessary qualities/skills.,Assisting travelers; youth eligibility (18-24); greeting passengers; language proficiency; difficulty for young people; career benefits.,9
2014,1.3,Social Issues / Family,Helicopter Parenting,Discuss views about helicopter parenting for a letter to the editor.,Qualities of good parents; pros/cons of helicopter parenting; parent-child relationship complaints.,Over-protection vs. freedom; teaching decision-making; child safety; impact on success; communication between parents and children.,9
2014,2.1,Social Issues / Social Media,Food Photos,Discuss taking photos of food for a food blog project.,Popularity reasons; negative effects; blog assembly.,Mental health indicator; obsession vs. passion; sharing on social media; blog creation; food photography as art; restaurant bans.,9
2014,2.2,Hong Kong Culture,Street Culture,Discuss what to include in a presentation about street culture in HK.,Negative perceptions; popularity reasons; changing public attitudes.,Street art/dance/graffiti/skateboarding; negative labels (troublemakers); government recognition; value as art/sport; school promotion.,9
2014,2.3,Global Issues / Well-being,World Happiness,Discuss a talk comparing Switzerland and Hong Kong regarding happiness.,"Healthcare, education, talent, infrastructure comparisons; ranking improvements.",Healthcare; education quality; talent/innovation; infrastructure; internet connectivity; comparison of UN rankings.,9
2014,3.1,Education / Language,Teen Slang Dictionary,Discuss a project to compile a dictionary of English words used by teenagers.,Source collection; word selection criteria; interesting presentation methods.,Social media influence; offensive/controversial terms; viral language; reliable sources; presentation methods; slang in language learning.,9
2014,3.2,Education,Finland Education,Discuss Finland's education system for a Critical Thinking class.,Positive aspects of Finland vs HK; feasibility of Finnish methods in HK.,No standardized tests; no homework; equality over excellence; master's degree for teachers; start school at age 7.,9
2014,3.3,Hong Kong Culture / Tourism,Waterfront Ferris Wheel,Discuss the proposed ferris wheel on the Central waterfront.,Need for attractions; suitability of a ferris wheel; alternative land uses.,Unique experience for locals/tourists; prime location cost; copycat concerns (London Eye); alternative land use (playgrounds/restaurants).,9
2014,4.1,Social Issues / Social Media,Cyber-spying on Kids,Discuss communicating with parents through social media.,"Parental access to accounts; monitoring reasons; ""friendship"" on Facebook.",Fake identities; monitoring online activity; privacy levels; parent-child friendship on Facebook; embarrassing photos; trust issues.,9
2014,4.2,Social Issues / Lifestyle,Couponing,Discuss the culture of using coupons.,Types of coupons used; reasons for popularity; potential disadvantages.,Saving money; hobby vs. necessity; online deals/blogs; potential disadvantages; impact on shopping behavior.,9
2014,4.3,School Life / Culture,Superheroes,Discuss how to get a school Superheroes Society started.,Representative superhero choice; membership attraction; society activities.,Batman (intellect); Sailor Moon (inner strength); Monkey King (traditional power); attracting members; role models; extraordinary powers.,9
2014,5.1,School Life / Culture,International Film Day,Discuss organizing an International Film Day for the Movie Club.,Appeal to students; benefits of the event; opening film choice.,Language/subtitles; opening film selection; cultural exposure; organizing a festival; popularity factors.,9
2014,5.2,School Life / Science,Dinosaur Hunter Visit,Discuss preparing for a visit from Dr. Xu Xing.,Interesting life/career aspects; questions to ask; visit activities.,Fossil study; hard work and luck; scientific discoveries vs. business; field trips; importance of studying dinosaurs.,9
2014,5.3,Mental Health / Well-being,Health Mistakes,Discuss what to include in a workshop about common health mistakes.,Prevalence in HK; top three 'mistakes'; making the workshop interesting.,Showering daily; sleeping too little; heavy schoolbags; over-exercising; skipping breakfast; daily routines; health information.,9
2014,6.1,School Life / Sports,Team Sports,Discuss what to include in a presentation about team sports.,Benefits and disadvantages vs individual sports; promotion in HK.,Commitment/punctuality; teamwork; reducing bullying/violence; cost/tough training; handling failure; promoting sports in HK.,9
2014,6.2,Education / Technology,E-textbooks,Discuss whether schools should replace traditional textbooks with e-textbooks.,Benefits of e-textbooks vs traditional; impact on learning.,Paperless; note-taking/highlighting; search functions; costs/subsidies; portability; government support; performance impact.,9
2014,6.3,Social Issues / Education,Student Debt,Discuss financial problems tertiary students face for a letter to a newspaper.,Expenses; loan problems; value of a degree.,Government loans; student debt; part-time jobs; interest rates; value of a degree; financial pressure; scholarships.,9
2014,7.1,Education / Social Issues,Courtesy Classes,Discuss introducing compulsory courtesy classes in HK secondary schools.,Compulsory status; curriculum content; target age group.,Polite conversation; table manners; etiquette (telephone/email); respecting elderly; dressing properly; beneficial age groups.,9
2014,7.2,Social Issues / Well-being,Impact of LEGO,Discuss a project about the impact of LEGO on young people.,Popularity; reasons for success; pros and cons of varied LEGO figures.,Emotional development; war-related themes; popularity vs. video games; pros/cons of facial expressions; reputation; age restrictions.,9
2014,7.3,Social Issues,Advertising Ethics,Prepare for a debate on whether advertising does more good than harm.,Positive and negative effects on society; prohibited products.,Consumer exposure; honest vs. dishonest messaging (weight loss); quality vs. marketing; harmful products; effectiveness.,9
2014,8.1,School Life / Food,Super-sized Food,Discuss selling super-sized Japanese food at a school fun fair stall.,Popularity in HK; pros and cons; food choice for super-sizing.,Popularity in HK; food waste concerns; publicity stunts; quality vs. quantity; online sharing/photos.,9
2014,8.2,School Life / Culture,Young Screenwriter,Discuss organizing a workshop with Jeremy Lin (teen screenwriter).,Workshop activities; questions for Jeremy; learning outcomes.,Screenwriting; following dreams; teen issues in film; local talent going international; workshop activities.,9
2014,8.3,Technology / Mental Health,Technology Addiction,Discuss what to include in a presentation about addiction to technology.,Addiction reasons; signs of addiction; overcoming tips.,"Signs of addiction (anxiety, multi-tasking); virtual vs. real world; finding balance; computer/internet usage; parental control.",9
2014,9.1,Social Issues / Youth,Police Internship,Discuss whether to apply for a HK Police Force summer internship.,Reasons for joining; preferred job duties; benefits vs other jobs.,Youth activities (JPC); TV/film production; entry requirements (languages/IT); allowance; dangerous job perception; public communication.,9
2014,9.2,Social Issues / HK Culture,Customer Service,Discuss a project about customer service in Hong Kong.,Importance; quality trends in HK; improvement strategies.,Declining quality; competitive edge; employee motivation/rewards; dealing with rude customers; tourist impression.,9
